unit_ref,tenancy_id,tenancy_start_date,tenancy_end_date
Unit1646,Tenant374,14/09/1998,
Unit1414,Tenant375,17/07/2017,
Unit9548,Tenant376,13/06/2005,
Unit1095,Tenant377,30/08/1993,
Unit1396,Tenant378,13/03/2017,
Unit6659,Tenant379,01/08/2011,01/12/2019
Unit8632,Tenant380,22/05/2006,
Unit3475,Tenant381,29/09/2014,02/02/2020
Unit8701,Tenant382,30/09/2002,21/07/2019
Unit8701,Tenant383,18/11/2019,
Unit1868,Tenant384,04/06/2007,
Unit9545,Tenant385,23/11/2009,
Unit1520,Tenant386,10/02/2017,
Unit4480,Tenant387,13/10/1997,
Unit8348,Tenant388,05/02/1996,
Unit2760,Tenant389,06/12/1999,
Unit2634,Tenant390,30/06/2014,
Unit6725,Tenant391,18/04/2011,
Unit6714,Tenant392,11/04/2011,
Unit1231,Tenant393,02/11/2009,
Unit3750,Tenant394,18/01/2010,
Unit9853,Tenant395,26/11/2012,
Unit177,Tenant396,08/09/2014,
Unit807,Tenant397,14/01/2013,
Unit9469,Tenant398,02/06/2008,21/02/2021
Unit267,Tenant399,06/12/2004,
Unit5085,Tenant400,17/09/2018,
Unit6790,Tenant401,11/11/2013,
Unit9290,Tenant402,23/07/1990,
Unit5301,Tenant403,18/09/2017,
Unit8002,Tenant404,11/08/1997,
Unit7297,Tenant405,03/11/1986,
Unit7199,Tenant406,30/05/1994,
Unit7521,Tenant407,15/01/2007,
Unit2564,Tenant408,24/01/2000,20/12/2020
Unit2564,Tenant409,21/12/2020,
Unit3940,Tenant410,27/10/2003,
Unit771,Tenant411,28/08/2006,
Unit7106,Tenant412,30/05/2011,
Unit5547,Tenant413,08/03/1993,
Unit5671,Tenant414,28/07/2008,
Unit5036,Tenant415,29/10/2012,
Unit6885,Tenant416,12/12/2011,
Unit7672,Tenant417,18/04/2016,
Unit3348,Tenant418,21/07/2008,
Unit8748,Tenant419,02/02/2009,
Unit1352,Tenant420,15/04/2002,
Unit7848,Tenant421,07/01/2019,
Unit4319,Tenant422,26/01/1998,
Unit7465,Tenant423,06/09/2010,
Unit3710,Tenant424,12/03/2001,
Unit4463,Tenant425,25/10/2004,
Unit89,Tenant426,29/02/2016,
Unit5188,Tenant427,17/12/2001,
Unit4538,Tenant428,09/02/2015,
Unit7772,Tenant429,15/01/2001,
Unit6294,Tenant430,08/06/2009,
Unit840,Tenant431,03/02/2003,
Unit3253,Tenant432,07/02/2011,
Unit1457,Tenant433,11/02/2013,
Unit57,Tenant434,31/08/2009,
Unit1617,Tenant435,09/10/2000,
Unit7300,Tenant436,29/05/2000,14/06/2020
Unit7300,Tenant437,15/06/2020,
Unit6603,Tenant438,17/03/2014,
Unit4276,Tenant439,17/11/2014,
Unit3984,Tenant440,21/04/2008,
Unit2184,Tenant441,04/04/2011,
Unit5312,Tenant442,21/10/2002,
Unit6280,Tenant443,09/06/1986,
Unit5135,Tenant444,22/08/2011,04/10/2020
Unit1235,Tenant445,08/09/2008,
Unit510,Tenant446,29/05/2000,
Unit7570,Tenant447,10/05/1999,
Unit9522,Tenant448,28/06/2010,
Unit7571,Tenant449,13/06/2011,01/09/2019
Unit7571,Tenant450,07/10/2019,15/11/2020
Unit7571,Tenant451,16/11/2020,
Unit1707,Tenant452,16/09/2002,15/12/2019
Unit1707,Tenant453,27/01/2020,
Unit7907,Tenant454,16/12/2002,
Unit8270,Tenant455,20/08/2018,
Unit4423,Tenant456,04/04/2011,
Unit654,Tenant457,22/03/2010,
Unit3618,Tenant458,28/02/2000,
Unit6864,Tenant459,27/11/2006,
Unit2585,Tenant460,08/03/2010,23/06/2019
Unit2585,Tenant461,29/07/2019,
Unit3626,Tenant462,12/12/2011,
Unit9770,Tenant463,19/02/1996,
Unit5275,Tenant464,07/03/1994,
Unit5725,Tenant465,24/07/1989,
Unit2899,Tenant466,14/01/2002,
Unit7619,Tenant467,09/08/2004,
Unit9398,Tenant468,29/08/1994,
Unit6775,Tenant469,14/05/2001,
Unit9726,Tenant470,05/05/2008,
Unit6495,Tenant471,26/07/2004,
Unit4541,Tenant472,30/06/2007,
Unit9958,Tenant473,16/12/1991,
Unit2488,Tenant474,25/03/2013,
Unit5342,Tenant475,17/07/1995,
Unit2676,Tenant476,12/09/2011,06/09/2020
Unit2676,Tenant477,07/09/2020,
Unit6152,Tenant478,10/06/2019,
Unit7054,Tenant479,26/10/1998,
Unit5365,Tenant480,30/09/2019,
Unit5365,Tenant481,25/07/2016,25/08/2019
Unit4776,Tenant482,22/04/1991,
Unit3904,Tenant483,27/10/2008,
Unit2227,Tenant484,30/09/2002,
Unit1252,Tenant485,02/07/2012,
Unit6528,Tenant486,10/02/1997,
Unit9620,Tenant487,09/06/2003,
Unit5504,Tenant488,30/09/2002,
Unit6756,Tenant489,16/12/2013,
Unit9123,Tenant490,15/12/2003,
Unit9977,Tenant491,28/07/1980,
Unit9534,Tenant492,11/08/2014,
Unit4661,Tenant493,29/09/2003,
Unit3074,Tenant494,28/12/1992,
Unit203,Tenant495,02/03/1998,
Unit5518,Tenant496,06/04/1981,
Unit9825,Tenant497,19/04/2004,
Unit8495,Tenant498,03/11/1986,
Unit616,Tenant499,06/10/2014,
Unit7087,Tenant500,21/12/2020,
Unit7087,Tenant501,26/06/2017,16/08/2020
Unit7868,Tenant502,16/07/2018,
Unit2467,Tenant503,31/07/1995,29/03/2020
Unit2467,Tenant504,15/06/2020,
Unit6533,Tenant505,08/04/2002,
Unit32,Tenant506,15/04/2002,
Unit6807,Tenant507,28/07/2003,
Unit4428,Tenant508,09/02/1998,
Unit6341,Tenant509,30/08/1993,
Unit6203,Tenant510,14/11/2016,
Unit1620,Tenant511,30/10/2017,09/06/2019
Unit1620,Tenant512,08/07/2019,
Unit5994,Tenant513,17/09/2012,
Unit7031,Tenant514,29/03/1993,28/04/2019
Unit7031,Tenant515,05/08/2019,29/11/2020
Unit7031,Tenant516,30/11/2020,
Unit7660,Tenant517,31/05/2004,
Unit8384,Tenant518,04/09/2006,
Unit7996,Tenant519,28/03/2011,
Unit3126,Tenant520,03/12/2012,
Unit9941,Tenant521,01/04/2002,
Unit207,Tenant522,11/11/2013,
Unit3264,Tenant523,18/04/2011,
Unit696,Tenant524,14/05/2012,
Unit9146,Tenant525,14/01/2019,
Unit5947,Tenant526,22/04/2002,
Unit9280,Tenant527,16/09/2002,
Unit531,Tenant528,07/06/2004,
Unit3100,Tenant529,23/10/2017,
Unit7200,Tenant530,03/03/2014,
Unit815,Tenant531,17/10/2011,
Unit9221,Tenant532,05/09/2005,
Unit5487,Tenant533,19/05/2014,
Unit417,Tenant534,04/03/1996,
Unit9543,Tenant535,07/01/2002,17/02/2019
Unit9543,Tenant536,22/04/2019,
Unit4195,Tenant537,31/01/1994,
Unit7668,Tenant538,05/02/2001,
Unit8047,Tenant539,14/04/2014,
Unit5995,Tenant540,25/12/2000,14/07/2019
Unit3280,Tenant541,05/10/1998,
Unit172,Tenant542,08/05/2006,
Unit6059,Tenant543,14/10/2002,06/09/2020
Unit6059,Tenant544,07/09/2020,
Unit862,Tenant545,16/08/2010,
Unit9166,Tenant546,06/05/2013,
Unit1742,Tenant547,02/08/2004,
Unit8310,Tenant548,12/02/2018,
Unit8842,Tenant549,23/05/2011,
Unit8845,Tenant550,18/08/2014,
Unit8049,Tenant551,26/03/2018,
Unit2316,Tenant552,31/08/2009,
Unit8556,Tenant553,21/05/2012,
Unit1819,Tenant554,08/05/2017,
Unit6823,Tenant555,18/01/2016,
Unit4964,Tenant556,17/05/1999,
Unit5649,Tenant557,11/09/2017,08/09/2019
Unit5649,Tenant558,09/09/2019,
Unit2522,Tenant559,17/05/1999,
Unit9457,Tenant560,04/05/1998,
Unit6699,Tenant561,10/03/2003,
Unit4043,Tenant562,07/07/2014,
Unit1351,Tenant563,25/11/2013,
Unit2840,Tenant564,05/08/1996,
Unit4969,Tenant565,03/11/2014,20/12/2020
Unit6058,Tenant566,04/01/2010,
Unit4953,Tenant567,12/10/2015,
Unit801,Tenant568,14/06/1999,
Unit1273,Tenant569,26/06/2006,
Unit4871,Tenant570,25/01/2010,
Unit2353,Tenant571,27/10/1997,
Unit1127,Tenant572,20/05/2019,
Unit6256,Tenant573,10/10/2011,
Unit1504,Tenant574,23/08/2004,
Unit8322,Tenant575,04/01/2016,
Unit5179,Tenant576,04/11/2019,
Unit5179,Tenant577,22/12/2014,03/11/2019
Unit3559,Tenant578,13/02/2006,
Unit2803,Tenant579,17/12/1990,
Unit9627,Tenant580,25/09/1995,
Unit6509,Tenant581,19/10/2009,
Unit6804,Tenant582,06/03/1995,26/07/2020
Unit9142,Tenant583,15/03/1993,
Unit6004,Tenant584,21/10/2013,
Unit7303,Tenant585,28/05/2001,
Unit4357,Tenant586,02/06/2003,
Unit4583,Tenant587,23/09/1996,
Unit333,Tenant588,05/08/2002,
Unit9078,Tenant589,09/07/2018,
Unit2123,Tenant590,24/10/1988,
Unit3092,Tenant591,03/11/2014,
Unit455,Tenant592,31/05/2004,
Unit7884,Tenant593,07/03/1994,
Unit5215,Tenant594,26/03/2007,
Unit8821,Tenant595,17/06/2002,
Unit5597,Tenant596,21/02/2011,
Unit1867,Tenant597,19/04/2010,24/02/2019
Unit1867,Tenant598,15/07/2019,
Unit9922,Tenant599,15/05/2006,
Unit1253,Tenant600,08/04/2002,
Unit4657,Tenant601,07/09/2004,
Unit429,Tenant602,08/03/2004,
Unit7201,Tenant603,26/03/2001,
Unit9059,Tenant604,29/03/2010,
Unit8865,Tenant605,08/01/2007,
Unit2037,Tenant606,10/12/2001,
Unit9164,Tenant607,03/09/1979,
Unit6912,Tenant608,23/04/2018,
Unit29,Tenant609,12/07/2004,
Unit3353,Tenant610,29/09/1997,
Unit3809,Tenant611,09/07/2018,
Unit3249,Tenant612,30/01/2017,
Unit6060,Tenant613,13/07/2009,
Unit7624,Tenant614,16/06/2014,21/04/2019
Unit7624,Tenant615,17/06/2019,
Unit8016,Tenant616,30/09/2002,
Unit6872,Tenant617,08/01/2007,
Unit7313,Tenant618,08/05/2006,
Unit5490,Tenant619,22/04/2019,
Unit8749,Tenant620,30/10/2006,
Unit3020,Tenant621,23/02/2015,
Unit8567,Tenant622,21/12/2009,
Unit4314,Tenant623,06/11/1995,
Unit6125,Tenant624,09/08/2004,
Unit627,Tenant625,28/01/2002,
Unit7193,Tenant626,08/07/2013,
Unit5315,Tenant627,11/03/2019,14/07/2019
Unit5315,Tenant628,02/09/2019,
Unit3565,Tenant629,24/01/2011,17/03/2019
Unit3565,Tenant630,10/06/2019,
Unit6196,Tenant631,19/10/1998,
Unit328,Tenant632,02/02/2009,
Unit758,Tenant633,15/08/2011,
Unit2088,Tenant634,27/09/2010,
Unit619,Tenant635,14/10/2019,
Unit619,Tenant636,05/12/2016,13/10/2019
Unit1465,Tenant637,03/12/2012,
Unit2340,Tenant638,22/01/2007,
Unit5638,Tenant639,07/07/2014,
Unit8308,Tenant640,15/01/2001,
Unit2080,Tenant641,30/11/2009,
Unit6981,Tenant642,24/03/2008,
